"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:25:00","2025-09-16T05:25:00.000Z",2,32.2,32.2,4277,442,442,30,30,36.3,74,74,29,26,1,22.2,34.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:20:00","2025-09-16T05:20:00.000Z",1,32.8,32.8,4384,454,454,30,30,36.2,75,75,33,30,1,22.1,36.3
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:15:00","2025-09-16T05:15:00.000Z",2,32.8,32.8,4206,472,472,29.9,29.9,36.1,75,75,34,32,1,21.9,35.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:10:00","2025-09-16T05:10:00.000Z",2,31.8,31.8,4090,452,452,29.8,29.8,36.1,76,76,29,26,1,21.4,33.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:05:00","2025-09-16T05:05:00.000Z",1,31.5,31.5,3958,461,461,29.8,29.8,35.9,76,76,28,25,1,21.4,33.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 12:00:00","2025-09-16T05:00:00.000Z",2,31.5,31.5,4009,460,460,29.8,29.8,35.9,75,75,27,24,1,21.2,33.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:55:00","2025-09-16T04:55:00.000Z",2,30,30,3744,464,464,29.8,29.8,36,76,76,26,22,1,19.9,31
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:50:00","2025-09-16T04:50:00.000Z",1,28,28,3753,451,451,29.7,29.7,35.6,75,75,24,19,1,19.8,28.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:45:00","2025-09-16T04:45:00.000Z",2,27.2,27.2,3394,468,468,29.7,29.7,35.6,76,76,23,18,1,19.2,27.9
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:40:00","2025-09-16T04:40:00.000Z",2,26.1,26.1,3259,430,430,29.6,29.6,35.3,76,76,22,17,1,18.4,26.4
